repo, issue, url, days since last activity
common,1521,https://github.com/cucumber/common/issues/1521,0
cucumber-ruby,1546,https://github.com/cucumber/cucumber-ruby/issues/1546,0
cucumber-ruby,1547,https://github.com/cucumber/cucumber-ruby/issues/1547,0
cucumber-jvm,2309,https://github.com/cucumber/cucumber-jvm/issues/2309,0
common,1582,https://github.com/cucumber/common/pull/1582,0
common,1581,https://github.com/cucumber/common/pull/1581,0
common,1578,https://github.com/cucumber/common/issues/1578,0
coffee-machine-javascript,2,https://github.com/cucumber/coffee-machine-javascript/pull/2,1
cucumber-js,1489,https://github.com/cucumber/cucumber-js/issues/1489,1
common,1579,https://github.com/cucumber/common/pull/1579,1
godog,291,https://github.com/cucumber/godog/issues/291,1
cucumber-jvm,2304,https://github.com/cucumber/cucumber-jvm/pull/2304,1
common,1580,https://github.com/cucumber/common/issues/1580,1
common,1574,https://github.com/cucumber/common/issues/1574,1
cucumber-jvm,2308,https://github.com/cucumber/cucumber-jvm/issues/2308,1
build,28,https://github.com/cucumber/build/pull/28,1
cucumber-js,1617,https://github.com/cucumber/cucumber-js/pull/1617,1
screenplay.js,3,https://github.com/cucumber/screenplay.js/pull/3,1
cucumber-ruby,1545,https://github.com/cucumber/cucumber-ruby/issues/1545,2
cucumber-ruby,1542,https://github.com/cucumber/cucumber-ruby/pull/1542,2
microdata,45,https://github.com/cucumber/microdata/pull/45,2
common,1575,https://github.com/cucumber/common/pull/1575,2
cucumber-jvm,2285,https://github.com/cucumber/cucumber-jvm/issues/2285,2
cucumber-ruby,1544,https://github.com/cucumber/cucumber-ruby/pull/1544,2
cucumber-jvm,2307,https://github.com/cucumber/cucumber-jvm/issues/2307,3
microdata,36,https://github.com/cucumber/microdata/pull/36,3
common,1216,https://github.com/cucumber/common/issues/1216,3
cucumber-js,1568,https://github.com/cucumber/cucumber-js/pull/1568,3
cucumber-java-skeleton,63,https://github.com/cucumber/cucumber-java-skeleton/pull/63,3
cucumber-jvm,2300,https://github.com/cucumber/cucumber-jvm/pull/2300,4
cucumber-jvm,2299,https://github.com/cucumber/cucumber-jvm/pull/2299,4
cucumber-jvm,2283,https://github.com/cucumber/cucumber-jvm/pull/2283,4
microdata,37,https://github.com/cucumber/microdata/pull/37,4
godog,390,https://github.com/cucumber/godog/pull/390,4
microdata,35,https://github.com/cucumber/microdata/pull/35,5
microdata,44,https://github.com/cucumber/microdata/pull/44,5
common,249,https://github.com/cucumber/common/issues/249,5
cucumber-js,1668,https://github.com/cucumber/cucumber-js/issues/1668,5
cucumber-eclipse,433,https://github.com/cucumber/cucumber-eclipse/issues/433,6
microdata,41,https://github.com/cucumber/microdata/pull/41,6
cucumber-parent,23,https://github.com/cucumber/cucumber-parent/pull/23,6
common,1562,https://github.com/cucumber/common/issues/1562,6
cucumber-android,75,https://github.com/cucumber/cucumber-android/pull/75,7
cucumber-electron,60,https://github.com/cucumber/cucumber-electron/pull/60,7
cucumber-electron,54,https://github.com/cucumber/cucumber-electron/pull/54,7
cucumber-js,1588,https://github.com/cucumber/cucumber-js/pull/1588,7
cucumber-android,61,https://github.com/cucumber/cucumber-android/pull/61,7
cucumber-android,33,https://github.com/cucumber/cucumber-android/pull/33,7
cucumber-cpp,244,https://github.com/cucumber/cucumber-cpp/pull/244,7
cucumber-android,57,https://github.com/cucumber/cucumber-android/pull/57,7
cucumber-ruby-wire,44,https://github.com/cucumber/cucumber-ruby-wire/pull/44,7
cucumber-cpp,241,https://github.com/cucumber/cucumber-cpp/pull/241,7
cucumber-cpp,232,https://github.com/cucumber/cucumber-cpp/pull/232,7
cucumber.ml,35,https://github.com/cucumber/cucumber.ml/pull/35,7
cucumber.ml,34,https://github.com/cucumber/cucumber.ml/pull/34,7
cucumber-cpp,231,https://github.com/cucumber/cucumber-cpp/pull/231,7
cucumber-cpp,229,https://github.com/cucumber/cucumber-cpp/pull/229,7
cucumber-cpp,228,https://github.com/cucumber/cucumber-cpp/pull/228,7
cucumber-cpp,227,https://github.com/cucumber/cucumber-cpp/pull/227,7
cucumber-cpp,225,https://github.com/cucumber/cucumber-cpp/pull/225,7
godog,389,https://github.com/cucumber/godog/issues/389,7
cucumber-cpp,224,https://github.com/cucumber/cucumber-cpp/pull/224,7
cucumber-cpp,223,https://github.com/cucumber/cucumber-cpp/pull/223,7
cucumber-cpp,198,https://github.com/cucumber/cucumber-cpp/pull/198,7
cucumber-cpp,129,https://github.com/cucumber/cucumber-cpp/pull/129,7
cucumber-electron,61,https://github.com/cucumber/cucumber-electron/pull/61,7
common,1302,https://github.com/cucumber/common/pull/1302,8
cucumber-ruby-core,219,https://github.com/cucumber/cucumber-ruby-core/pull/219,8
cucumber-jvm,1829,https://github.com/cucumber/cucumber-jvm/issues/1829,8
cucumber-jvm,1931,https://github.com/cucumber/cucumber-jvm/issues/1931,8
cucumber-jvm,1936,https://github.com/cucumber/cucumber-jvm/issues/1936,8
common,1555,https://github.com/cucumber/common/pull/1555,8
common,1550,https://github.com/cucumber/common/issues/1550,8
common,1498,https://github.com/cucumber/common/pull/1498,8
cucumber-js,1373,https://github.com/cucumber/cucumber-js/issues/1373,8
common,1386,https://github.com/cucumber/common/issues/1386,8
cucumber-eclipse,432,https://github.com/cucumber/cucumber-eclipse/issues/432,8
common,935,https://github.com/cucumber/common/pull/935,8
cucumber-ruby,1541,https://github.com/cucumber/cucumber-ruby/issues/1541,9
cucumber-ruby,1543,https://github.com/cucumber/cucumber-ruby/issues/1543,9
common,1532,https://github.com/cucumber/common/issues/1532,9
cucumber-js,1304,https://github.com/cucumber/cucumber-js/issues/1304,9
cucumber-jvm,2306,https://github.com/cucumber/cucumber-jvm/issues/2306,9
godog,372,https://github.com/cucumber/godog/pull/372,9
screenplay.js,4,https://github.com/cucumber/screenplay.js/pull/4,10
common,1317,https://github.com/cucumber/common/issues/1317,11
cucumber-eclipse,431,https://github.com/cucumber/cucumber-eclipse/issues/431,11
cucumber-jvm,2303,https://github.com/cucumber/cucumber-jvm/pull/2303,11
common,1505,https://github.com/cucumber/common/issues/1505,11
cucumber-jvm,2302,https://github.com/cucumber/cucumber-jvm/issues/2302,11
common,1504,https://github.com/cucumber/common/issues/1504,11
common,1544,https://github.com/cucumber/common/issues/1544,12
build,10,https://github.com/cucumber/build/issues/10,14
build,18,https://github.com/cucumber/build/issues/18,14
cucumber-eclipse,430,https://github.com/cucumber/cucumber-eclipse/issues/430,15
cucumber-js,1669,https://github.com/cucumber/cucumber-js/pull/1669,15
aruba,806,https://github.com/cucumber/aruba/issues/806,15
common,1539,https://github.com/cucumber/common/issues/1539,15
aruba,790,https://github.com/cucumber/aruba/pull/790,16
aruba,653,https://github.com/cucumber/aruba/pull/653,16
aruba,716,https://github.com/cucumber/aruba/pull/716,16
aruba,799,https://github.com/cucumber/aruba/pull/799,16
cucumber-jvm,2286,https://github.com/cucumber/cucumber-jvm/pull/2286,16
aruba,746,https://github.com/cucumber/aruba/pull/746,16
aruba,505,https://github.com/cucumber/aruba/pull/505,16
aruba,600,https://github.com/cucumber/aruba/pull/600,16
aruba,619,https://github.com/cucumber/aruba/pull/619,16
aruba,783,https://github.com/cucumber/aruba/pull/783,16
aruba,634,https://github.com/cucumber/aruba/pull/634,16
aruba,787,https://github.com/cucumber/aruba/pull/787,16
aruba,789,https://github.com/cucumber/aruba/pull/789,16
common,1533,https://github.com/cucumber/common/issues/1533,17
common,1519,https://github.com/cucumber/common/issues/1519,18
cucumber-ruby,1487,https://github.com/cucumber/cucumber-ruby/issues/1487,18
microdata,43,https://github.com/cucumber/microdata/pull/43,18
cucumber-js,1649,https://github.com/cucumber/cucumber-js/pull/1649,19
cucumber-jvm,2294,https://github.com/cucumber/cucumber-jvm/issues/2294,19
microdata,42,https://github.com/cucumber/microdata/pull/42,19
common,1512,https://github.com/cucumber/common/issues/1512,19
cucumber-js,1667,https://github.com/cucumber/cucumber-js/issues/1667,21
cucumber-js,1579,https://github.com/cucumber/cucumber-js/issues/1579,21
cucumber-js,1531,https://github.com/cucumber/cucumber-js/pull/1531,21
cucumber-js,1566,https://github.com/cucumber/cucumber-js/pull/1566,21
microdata,40,https://github.com/cucumber/microdata/pull/40,21
docs,561,https://github.com/cucumber/docs/issues/561,21
cucumber-js,1434,https://github.com/cucumber/cucumber-js/pull/1434,21
godog,364,https://github.com/cucumber/godog/pull/364,22
godog,276,https://github.com/cucumber/godog/pull/276,22
common,1413,https://github.com/cucumber/common/issues/1413,22
docs,558,https://github.com/cucumber/docs/pull/558,22
common,1427,https://github.com/cucumber/common/issues/1427,22
cucumber-rails,514,https://github.com/cucumber/cucumber-rails/issues/514,22
common,1523,https://github.com/cucumber/common/issues/1523,22
cucumber-js,1664,https://github.com/cucumber/cucumber-js/issues/1664,23
cucumber-js,1665,https://github.com/cucumber/cucumber-js/issues/1665,24
cucumber-js,1532,https://github.com/cucumber/cucumber-js/issues/1532,26
todo-react-typescript-subsecond,6,https://github.com/cucumber/todo-react-typescript-subsecond/pull/6,28
cucumber-jvm,2288,https://github.com/cucumber/cucumber-jvm/issues/2288,28
cucumber-eclipse,427,https://github.com/cucumber/cucumber-eclipse/issues/427,29
common,756,https://github.com/cucumber/common/issues/756,29
docs,594,https://github.com/cucumber/docs/issues/594,29
godog,373,https://github.com/cucumber/godog/issues/373,29
godog,367,https://github.com/cucumber/godog/issues/367,29
cucumber-eclipse,172,https://github.com/cucumber/cucumber-eclipse/issues/172,30
cucumber-eclipse,283,https://github.com/cucumber/cucumber-eclipse/issues/283,30
cucumber-js,1652,https://github.com/cucumber/cucumber-js/issues/1652,30
cucumber-eclipse,418,https://github.com/cucumber/cucumber-eclipse/issues/418,30
cucumber-eclipse,342,https://github.com/cucumber/cucumber-eclipse/issues/342,30
cucumber-eclipse,377,https://github.com/cucumber/cucumber-eclipse/issues/377,30
cucumber-eclipse,380,https://github.com/cucumber/cucumber-eclipse/issues/380,30
cucumber-eclipse,396,https://github.com/cucumber/cucumber-eclipse/issues/396,30
cucumber-eclipse,399,https://github.com/cucumber/cucumber-eclipse/issues/399,30
cucumber-eclipse,400,https://github.com/cucumber/cucumber-eclipse/issues/400,30
cucumber-jvm-groovy,20,https://github.com/cucumber/cucumber-jvm-groovy/issues/20,30
cucumber-electron,59,https://github.com/cucumber/cucumber-electron/issues/59,30
cucumber-eclipse,425,https://github.com/cucumber/cucumber-eclipse/issues/425,30
cucumber-eclipse,412,https://github.com/cucumber/cucumber-eclipse/issues/412,30
cucumber-eclipse,407,https://github.com/cucumber/cucumber-eclipse/issues/407,30
cucumber-eclipse,6,https://github.com/cucumber/cucumber-eclipse/issues/6,30
cucumber-eclipse,7,https://github.com/cucumber/cucumber-eclipse/issues/7,30
cucumber-eclipse,403,https://github.com/cucumber/cucumber-eclipse/issues/403,30
cucumber-eclipse,11,https://github.com/cucumber/cucumber-eclipse/issues/11,30
cucumber-eclipse,12,https://github.com/cucumber/cucumber-eclipse/issues/12,30
cucumber-android,74,https://github.com/cucumber/cucumber-android/issues/74,30
cucumber-eclipse,13,https://github.com/cucumber/cucumber-eclipse/issues/13,30
cucumber-eclipse,127,https://github.com/cucumber/cucumber-eclipse/issues/127,30
cucumber-eclipse,136,https://github.com/cucumber/cucumber-eclipse/issues/136,30
cucumber-eclipse,238,https://github.com/cucumber/cucumber-eclipse/issues/238,30
cucumber-eclipse,402,https://github.com/cucumber/cucumber-eclipse/issues/402,30
cucumber-eclipse,14,https://github.com/cucumber/cucumber-eclipse/issues/14,30
cucumber-eclipse,43,https://github.com/cucumber/cucumber-eclipse/issues/43,30
cucumber-eclipse,47,https://github.com/cucumber/cucumber-eclipse/issues/47,30
cucumber-eclipse,56,https://github.com/cucumber/cucumber-eclipse/issues/56,30
cucumber-cpp,243,https://github.com/cucumber/cucumber-cpp/issues/243,31
cucumber-jvm,2254,https://github.com/cucumber/cucumber-jvm/issues/2254,31
cucumber-electron,58,https://github.com/cucumber/cucumber-electron/issues/58,31
cucumber-jvm,2256,https://github.com/cucumber/cucumber-jvm/pull/2256,32
cucumber-js,1044,https://github.com/cucumber/cucumber-js/issues/1044,32
cucumber-js,1302,https://github.com/cucumber/cucumber-js/issues/1302,32
cucumber-jvm,2257,https://github.com/cucumber/cucumber-jvm/pull/2257,32
cucumber-jvm,2281,https://github.com/cucumber/cucumber-jvm/pull/2281,32
cucumber-rails,505,https://github.com/cucumber/cucumber-rails/issues/505,32
cucumber-rails,446,https://github.com/cucumber/cucumber-rails/issues/446,32
cucumber-rails,438,https://github.com/cucumber/cucumber-rails/issues/438,32
cucumber-ruby,1460,https://github.com/cucumber/cucumber-ruby/issues/1460,32
cucumber-jvm,2255,https://github.com/cucumber/cucumber-jvm/pull/2255,32
docs,560,https://github.com/cucumber/docs/issues/560,32
cucumber-cpp,242,https://github.com/cucumber/cucumber-cpp/issues/242,33
godog,388,https://github.com/cucumber/godog/issues/388,34
cucumber-js,1648,https://github.com/cucumber/cucumber-js/issues/1648,35
common,1493,https://github.com/cucumber/common/issues/1493,36
cucumber-js,1640,https://github.com/cucumber/cucumber-js/issues/1640,36
common,1462,https://github.com/cucumber/common/issues/1462,38
cucumber-react,4,https://github.com/cucumber/cucumber-react/pull/4,38
cucumber-react,3,https://github.com/cucumber/cucumber-react/pull/3,38
cucumber-react,2,https://github.com/cucumber/cucumber-react/pull/2,38
cucumber-jvm,2143,https://github.com/cucumber/cucumber-jvm/pull/2143,39
cucumber-ruby,1526,https://github.com/cucumber/cucumber-ruby/issues/1526,39
cucumber-js,1641,https://github.com/cucumber/cucumber-js/issues/1641,39
cucumber-js,1644,https://github.com/cucumber/cucumber-js/issues/1644,39
cucumber-ruby,1522,https://github.com/cucumber/cucumber-ruby/issues/1522,42
cucumber-js,1538,https://github.com/cucumber/cucumber-js/issues/1538,43
cucumber-js,1582,https://github.com/cucumber/cucumber-js/issues/1582,43
godog,325,https://github.com/cucumber/godog/issues/325,43
aruba,729,https://github.com/cucumber/aruba/issues/729,44
godog,387,https://github.com/cucumber/godog/issues/387,44
godog,360,https://github.com/cucumber/godog/issues/360,44
common,1273,https://github.com/cucumber/common/issues/1273,46
cucumber-js,1408,https://github.com/cucumber/cucumber-js/issues/1408,46
common,960,https://github.com/cucumber/common/issues/960,47
cucumber-jvm,2174,https://github.com/cucumber/cucumber-jvm/issues/2174,48
cucumber-jvm,2279,https://github.com/cucumber/cucumber-jvm/issues/2279,48
common,1467,https://github.com/cucumber/common/issues/1467,49
cucumber-android,71,https://github.com/cucumber/cucumber-android/issues/71,50
cucumber-json-testdata-generator,15,https://github.com/cucumber/cucumber-json-testdata-generator/pull/15,51
cucumber-json-testdata-generator,14,https://github.com/cucumber/cucumber-json-testdata-generator/pull/14,51
common,1441,https://github.com/cucumber/common/issues/1441,52
cucumber-android,69,https://github.com/cucumber/cucumber-android/issues/69,52
cucumber-ruby,1513,https://github.com/cucumber/cucumber-ruby/issues/1513,52
godog,383,https://github.com/cucumber/godog/issues/383,53
cucumber-jvm,2278,https://github.com/cucumber/cucumber-jvm/issues/2278,55
cucumber-json-schema,3,https://github.com/cucumber/cucumber-json-schema/issues/3,56
cucumber-js,1278,https://github.com/cucumber/cucumber-js/issues/1278,58
cucumber-ruby,1362,https://github.com/cucumber/cucumber-ruby/issues/1362,59
common,871,https://github.com/cucumber/common/issues/871,59
cucumber-ruby,1469,https://github.com/cucumber/cucumber-ruby/issues/1469,59
cucumber-eclipse,370,https://github.com/cucumber/cucumber-eclipse/issues/370,61
common,768,https://github.com/cucumber/common/issues/768,64
cucumber-android,68,https://github.com/cucumber/cucumber-android/issues/68,70
common,1426,https://github.com/cucumber/common/issues/1426,72
common,1425,https://github.com/cucumber/common/issues/1425,72
common,1423,https://github.com/cucumber/common/issues/1423,73
common,1349,https://github.com/cucumber/common/issues/1349,73
godog,378,https://github.com/cucumber/godog/issues/378,73
common,1421,https://github.com/cucumber/common/issues/1421,75
common,997,https://github.com/cucumber/common/issues/997,78
docs,599,https://github.com/cucumber/docs/issues/599,78
cucumber-js,1288,https://github.com/cucumber/cucumber-js/issues/1288,79
godog,346,https://github.com/cucumber/godog/issues/346,82
godog,221,https://github.com/cucumber/godog/issues/221,82
godog,100,https://github.com/cucumber/godog/issues/100,84
godog,88,https://github.com/cucumber/godog/issues/88,84
godog,188,https://github.com/cucumber/godog/issues/188,84
godog,253,https://github.com/cucumber/godog/issues/253,84
godog,328,https://github.com/cucumber/godog/issues/328,84
godog,370,https://github.com/cucumber/godog/issues/370,84
common,1290,https://github.com/cucumber/common/issues/1290,86
cucumber-jvm,2044,https://github.com/cucumber/cucumber-jvm/issues/2044,86
common,1393,https://github.com/cucumber/common/issues/1393,86
cucumber-json-testdata-generator,13,https://github.com/cucumber/cucumber-json-testdata-generator/issues/13,87
cucumber-android,66,https://github.com/cucumber/cucumber-android/issues/66,87
screenplay.js,2,https://github.com/cucumber/screenplay.js/pull/2,91
cucumber-android,67,https://github.com/cucumber/cucumber-android/issues/67,92
common,1306,https://github.com/cucumber/common/issues/1306,95
cucumber-jvm-scala,175,https://github.com/cucumber/cucumber-jvm-scala/issues/175,95
godog,376,https://github.com/cucumber/godog/issues/376,96
godog,95,https://github.com/cucumber/godog/issues/95,98
common,1334,https://github.com/cucumber/common/issues/1334,98
common,1325,https://github.com/cucumber/common/issues/1325,100
docs,67,https://github.com/cucumber/docs/issues/67,100
cucumber-ruby,1288,https://github.com/cucumber/cucumber-ruby/issues/1288,100
docs,434,https://github.com/cucumber/docs/issues/434,100
cucumber-jvm,1834,https://github.com/cucumber/cucumber-jvm/issues/1834,100
docs,136,https://github.com/cucumber/docs/issues/136,100
common,1357,https://github.com/cucumber/common/issues/1357,101
cucumber-jvm,1711,https://github.com/cucumber/cucumber-jvm/issues/1711,102
cucumber-jvm,1805,https://github.com/cucumber/cucumber-jvm/issues/1805,103
commitbit,11,https://github.com/cucumber/commitbit/pull/11,107
godog,375,https://github.com/cucumber/godog/issues/375,107
cucumber-jvm,2215,https://github.com/cucumber/cucumber-jvm/issues/2215,108
cucumber-android,45,https://github.com/cucumber/cucumber-android/issues/45,108
cucumber-android,64,https://github.com/cucumber/cucumber-android/issues/64,109
cucumber-android,65,https://github.com/cucumber/cucumber-android/issues/65,110
docs,487,https://github.com/cucumber/docs/issues/487,112
common,1309,https://github.com/cucumber/common/issues/1309,113
protobuf,2,https://github.com/cucumber/protobuf/pull/2,114
common,1138,https://github.com/cucumber/common/issues/1138,114
cucumber-js,1277,https://github.com/cucumber/cucumber-js/issues/1277,115
cucumber-js,1453,https://github.com/cucumber/cucumber-js/issues/1453,115
cucumber-js,1263,https://github.com/cucumber/cucumber-js/issues/1263,115
cucumber-js,1255,https://github.com/cucumber/cucumber-js/issues/1255,115
cucumber-js,1247,https://github.com/cucumber/cucumber-js/issues/1247,115
cucumber-js,1233,https://github.com/cucumber/cucumber-js/issues/1233,115
cucumber-js,1153,https://github.com/cucumber/cucumber-js/issues/1153,115
cucumber-js,1141,https://github.com/cucumber/cucumber-js/issues/1141,115
cucumber-js,1136,https://github.com/cucumber/cucumber-js/issues/1136,115
cucumber-js,1120,https://github.com/cucumber/cucumber-js/issues/1120,115
cucumber-js,1079,https://github.com/cucumber/cucumber-js/issues/1079,115
cucumber-js,1021,https://github.com/cucumber/cucumber-js/issues/1021,115
cucumber-js,1004,https://github.com/cucumber/cucumber-js/issues/1004,115
cucumber-js,859,https://github.com/cucumber/cucumber-js/issues/859,115
cucumber-js,751,https://github.com/cucumber/cucumber-js/issues/751,115
cucumber-js,745,https://github.com/cucumber/cucumber-js/issues/745,115
cucumber-js,1537,https://github.com/cucumber/cucumber-js/issues/1537,115
cucumber-eclipse,275,https://github.com/cucumber/cucumber-eclipse/issues/275,115
cucumber-js,1545,https://github.com/cucumber/cucumber-js/issues/1545,115
cucumber-js,1275,https://github.com/cucumber/cucumber-js/issues/1275,115
cucumber-js,1475,https://github.com/cucumber/cucumber-js/issues/1475,115
cucumber-js,1409,https://github.com/cucumber/cucumber-js/issues/1409,115
cucumber-js,1404,https://github.com/cucumber/cucumber-js/issues/1404,115
cucumber-js,1394,https://github.com/cucumber/cucumber-js/issues/1394,115
cucumber-js,1393,https://github.com/cucumber/cucumber-js/issues/1393,115
cucumber-js,1324,https://github.com/cucumber/cucumber-js/issues/1324,115
cucumber-js,1321,https://github.com/cucumber/cucumber-js/issues/1321,115
cucumber-js,1312,https://github.com/cucumber/cucumber-js/issues/1312,115
cucumber-eclipse,411,https://github.com/cucumber/cucumber-eclipse/pull/411,115
godog,365,https://github.com/cucumber/godog/issues/365,115
common,1329,https://github.com/cucumber/common/issues/1329,115
cucumber-jvm,1707,https://github.com/cucumber/cucumber-jvm/issues/1707,115
cucumber-jvm,2216,https://github.com/cucumber/cucumber-jvm/issues/2216,115
cucumber-jvm,2054,https://github.com/cucumber/cucumber-jvm/issues/2054,115
cucumber-ruby,1450,https://github.com/cucumber/cucumber-ruby/issues/1450,115
cucumber-jvm,2035,https://github.com/cucumber/cucumber-jvm/issues/2035,115
cucumber-ruby,1467,https://github.com/cucumber/cucumber-ruby/issues/1467,115
cucumber-eclipse,371,https://github.com/cucumber/cucumber-eclipse/issues/371,116
cucumber-js,1551,https://github.com/cucumber/cucumber-js/issues/1551,120
common,1304,https://github.com/cucumber/common/issues/1304,120
aruba,726,https://github.com/cucumber/aruba/issues/726,123
aruba,752,https://github.com/cucumber/aruba/issues/752,125
cucumber-android,60,https://github.com/cucumber/cucumber-android/issues/60,125
godog,368,https://github.com/cucumber/godog/issues/368,129
cucumber-jvm,1891,https://github.com/cucumber/cucumber-jvm/issues/1891,130
datatable-java,3,https://github.com/cucumber/datatable-java/pull/3,138
datatable-java,5,https://github.com/cucumber/datatable-java/pull/5,138
aruba,518,https://github.com/cucumber/aruba/issues/518,138
aruba,770,https://github.com/cucumber/aruba/issues/770,146
