repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1305
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1288
docs,188,https://github.com/cucumber/docs/issues/188,1269
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1187
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1149
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,1140
docs,233,https://github.com/cucumber/docs/issues/233,1131
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1079
aruba,500,https://github.com/cucumber/aruba/issues/500,1047
aruba,525,https://github.com/cucumber/aruba/issues/525,1047
aruba,538,https://github.com/cucumber/aruba/issues/538,1047
aruba,550,https://github.com/cucumber/aruba/issues/550,1047
aruba,564,https://github.com/cucumber/aruba/issues/564,1047
aruba,573,https://github.com/cucumber/aruba/issues/573,1047
aruba,480,https://github.com/cucumber/aruba/issues/480,1042
godog,158,https://github.com/cucumber/godog/issues/158,1038
godog,159,https://github.com/cucumber/godog/issues/159,1030
aruba,255,https://github.com/cucumber/aruba/issues/255,1002
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,975
godog,173,https://github.com/cucumber/godog/issues/173,960
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,957
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,938
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,937
godog,182,https://github.com/cucumber/godog/issues/182,912
common,620,https://github.com/cucumber/common/issues/620,896
godog,185,https://github.com/cucumber/godog/issues/185,883
godog,187,https://github.com/cucumber/godog/issues/187,862
docs,230,https://github.com/cucumber/docs/issues/230,821
docs,79,https://github.com/cucumber/docs/issues/79,793
repo-template,4,https://github.com/cucumber/repo-template/issues/4,779
common,686,https://github.com/cucumber/common/issues/686,778
docs,401,https://github.com/cucumber/docs/issues/401,777
repo-template,5,https://github.com/cucumber/repo-template/issues/5,772
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,771
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,757
docs,391,https://github.com/cucumber/docs/issues/391,719
common,775,https://github.com/cucumber/common/issues/775,711
common,783,https://github.com/cucumber/common/issues/783,709
aruba,685,https://github.com/cucumber/aruba/issues/685,708
aruba,695,https://github.com/cucumber/aruba/issues/695,706
common,789,https://github.com/cucumber/common/issues/789,695
docs,424,https://github.com/cucumber/docs/issues/424,685
