repo,issue,url,days since last activity
cucumber-ruby-tcl,19,https://github.com/cucumber/cucumber-ruby-tcl/issues/19,2318
cucumber-ruby-tcl,16,https://github.com/cucumber/cucumber-ruby-tcl/issues/16,2318
cucumber-ruby-tcl,24,https://github.com/cucumber/cucumber-ruby-tcl/issues/24,2289
cucumber-ruby-tcl,32,https://github.com/cucumber/cucumber-ruby-tcl/issues/32,2213
cucumber-ruby-tcl,29,https://github.com/cucumber/cucumber-ruby-tcl/issues/29,2209
cucumber-ruby-tcl,33,https://github.com/cucumber/cucumber-ruby-tcl/pull/33,2208
cucumber-ruby-tcl,27,https://github.com/cucumber/cucumber-ruby-tcl/issues/27,2187
cucumber-ruby-tcl,31,https://github.com/cucumber/cucumber-ruby-tcl/issues/31,2187
cucumber-ruby-tcl,35,https://github.com/cucumber/cucumber-ruby-tcl/issues/35,2187
cucumber-ruby-wire,1,https://github.com/cucumber/cucumber-ruby-wire/issues/1,2079
cucumber-ruby-tcl,15,https://github.com/cucumber/cucumber-ruby-tcl/issues/15,1940
cucumber-ruby-tcl,25,https://github.com/cucumber/cucumber-ruby-tcl/issues/25,1914
cucumber-ruby-tcl,12,https://github.com/cucumber/cucumber-ruby-tcl/issues/12,1605
cucumber-cpp,154,https://github.com/cucumber/cucumber-cpp/issues/154,1483
commitbit,3,https://github.com/cucumber/commitbit/issues/3,1408
aruba-website,1,https://github.com/cucumber/aruba-website/issues/1,1404
cucumber-json-testdata-generator,7,https://github.com/cucumber/cucumber-json-testdata-generator/pull/7,1367
cucumber-cpp,169,https://github.com/cucumber/cucumber-cpp/issues/169,1351
cucumber-cpp,163,https://github.com/cucumber/cucumber-cpp/issues/163,1351
cucumber-cpp,185,https://github.com/cucumber/cucumber-cpp/issues/185,1180
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1138
cucumber-cpp,40,https://github.com/cucumber/cucumber-cpp/issues/40,1129
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1121
docs,188,https://github.com/cucumber/docs/issues/188,1102
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1020
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,982
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,973
docs,233,https://github.com/cucumber/docs/issues/233,964
common,415,https://github.com/cucumber/common/issues/415,963
cucumber-cpp,204,https://github.com/cucumber/cucumber-cpp/issues/204,938
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,912
cucumber-eclipse,324,https://github.com/cucumber/cucumber-eclipse/issues/324,891
aruba,525,https://github.com/cucumber/aruba/issues/525,880
aruba,564,https://github.com/cucumber/aruba/issues/564,880
aruba,500,https://github.com/cucumber/aruba/issues/500,880
aruba,550,https://github.com/cucumber/aruba/issues/550,880
aruba,538,https://github.com/cucumber/aruba/issues/538,880
aruba,573,https://github.com/cucumber/aruba/issues/573,880
aruba,480,https://github.com/cucumber/aruba/issues/480,875
godog,158,https://github.com/cucumber/godog/issues/158,871
godog,159,https://github.com/cucumber/godog/issues/159,863
cucumber-ruby-tcl,40,https://github.com/cucumber/cucumber-ruby-tcl/pull/40,844
aruba,255,https://github.com/cucumber/aruba/issues/255,835
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,808
godog,173,https://github.com/cucumber/godog/issues/173,793
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,790
cucumber-cpp,199,https://github.com/cucumber/cucumber-cpp/issues/199,773
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,771
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,770
godog,175,https://github.com/cucumber/godog/issues/175,763
godog,178,https://github.com/cucumber/godog/issues/178,753
godog,182,https://github.com/cucumber/godog/issues/182,745
common,620,https://github.com/cucumber/common/issues/620,729
godog,185,https://github.com/cucumber/godog/issues/185,716
godog,187,https://github.com/cucumber/godog/issues/187,695
cucumber-cpp,219,https://github.com/cucumber/cucumber-cpp/issues/219,689
cucumber-eclipse,368,https://github.com/cucumber/cucumber-eclipse/issues/368,684
cucumber-eclipse,362,https://github.com/cucumber/cucumber-eclipse/issues/362,684
docs,142,https://github.com/cucumber/docs/issues/142,682
docs,230,https://github.com/cucumber/docs/issues/230,654
docs,79,https://github.com/cucumber/docs/issues/79,626
repo-template,3,https://github.com/cucumber/repo-template/issues/3,612
repo-template,4,https://github.com/cucumber/repo-template/issues/4,612
common,686,https://github.com/cucumber/common/issues/686,611
docs,401,https://github.com/cucumber/docs/issues/401,610
repo-template,5,https://github.com/cucumber/repo-template/issues/5,605
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,604
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,590
docs,391,https://github.com/cucumber/docs/issues/391,552
common,775,https://github.com/cucumber/common/issues/775,544
common,783,https://github.com/cucumber/common/issues/783,542
aruba,678,https://github.com/cucumber/aruba/issues/678,541
aruba,685,https://github.com/cucumber/aruba/issues/685,541
aruba,695,https://github.com/cucumber/aruba/issues/695,539
docs,144,https://github.com/cucumber/docs/issues/144,535
common,789,https://github.com/cucumber/common/issues/789,528
common,453,https://github.com/cucumber/common/issues/453,525
docs,424,https://github.com/cucumber/docs/issues/424,518
cucumber.io-file-generator,2,https://github.com/cucumber/cucumber.io-file-generator/pull/2,486
